FILENAME	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_h4	t1_h7	t1_2	t1_3	t1_	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_h7	t2_3	t3_1	t3_2	t3_3	t3_4	t3_5	t3_6	t3_7	t3_h4	t3_1	t3_2	t3_3	t3_	t4_1	t4_2	t4_3	t4_4	t4_5	t4_6	t4_7	t4_6	t4_	t5_1	t5_2	t5_3	t5_4	t5_5	t5_6	t5_7	t5_F4	t5_h4	t5_h7	t5_4	t5_6	t5_	t6_1	t6_2	t6_3	t6_4	t6_5	t6_6	t6_7	t6_F4	t6_b	t6_6	t6_	t7_1	t7_2	t7_3	t7_4	t7_5	t7_6	t7_7	t7_h4	t7_7	tF4_1	tF4_6	tb_4	th4_3	th4_5	th4_6	th4_h4	th7_1	th7_5	th7_7	th7_h7	t1_1	t4_4	t7_5	t2_2	t2_4	t2_2	t2_1	t3_2	t3_4	t3_5	t3_3	t6_1	t6_6	t6_6	t6_1	t1_1	t1_3	t_3	t_4	t_5	t_6	t_7
Desh_D2T4txtdeg	0752	4511	0	1504	0	0752	9774	0	0	0	0	0	3759	1504	1504	3759	0752	0	1504	0	0	0	5263	1504	0752	0	0	0752	0	0	0	0	0	0752	0752	5263	0752	3008	1504	0	0	0	0752	0752	0	3759	1504	3759	3759	0	0	0	0	0	0	2256	0	0	1504	8271	0752	0	0	0	0	0	9774	0	0	0	0752	6015	6015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deshi_D2T5txtdeg	625	4167	4167	2083	0	0	4167	0	0	0	0	0	10417	0	4167	0	2083	0	0	0	0	0	10417	2083	0	0	0	0	0	0	0	0	0	0	2083	2083	2083	4167	2083	0	0	0	0	0	0	8333	0	4167	2083	0	0	0	0	0	0	0	0	0	0	625	2083	0	0	0	0	0	4167	0	0	0	2083	0	8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhani_D2T6txtdeg	1639	0	4918	0	1639	0	4918	0	0	0	1639	0	0	0	0	0	0	0	0	0	0	6557	0	8197	6557	1639	0	1639	0	0	0	0	0	0	0	4918	3279	8197	0	1639	0	0	0	0	4918	6557	3279	0	8197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8197	0	1639	0	8197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1639	0	0	0	0	0	0	0	0	0	0	0	0	0
Durga_D2T7txtdeg	0	0	0	3846	0	11538	0	0	0	0	0	0	3846	0	0	11538	7692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19231	0	0	0	3846	0	0	0	0	3846	0	7692	0	3846	0	0	0	0	0	0	0	11538	0	0	0	7692	3846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaud_malhar_D2T8txtdeg	2762	3315	0	1105	0	221	2762	0	0	0	0	0	3315	1657	221	2762	2762	0	221	0	0	0	4972	0552	7182	0	0	0	0	0	0	0	0	0	3315	9392	221	2762	0552	0552	0	0	0	0	0552	4972	4972	3315	0	0	0	0	0	0	0	0	0	0	0552	0552	2762	8287	0	0	0	0	6077	1657	0	0	2762	3315	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaud_sarang_D2T9txtdeg	2439	0	7317	0	0	0	0	0	0	0	0	0	2439	0	0	9756	0	0	0	0	0	4878	12195	2439	7317	4878	0	0	0	0	0	0	0	0	0	19512	0	7317	0	0	0	0	0	0	2439	9756	2439	0	0	0	0	0	0	0	2439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2439	0	0
Gorakh_kalyan_D2T10txtdeg	566	3774	0	0943	0	4717	283	0	0	0	0	0943	0943	566	0	7547	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1887	7547	0	283	1887	3774	0	0	0	0	0	0	1887	0	3774	0	0	0	0	0	0	0	8491	0	0	4717	3774	7547	3774	0	0	0	0	1887	0	0	0	0	7547	1887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0943	0
Gujari_todi_D2T11txtdeg	8333	0	0	0	0	8333	0	0	0	0	0	0	8333	125	0	0	0	0	0	0	0	0	4167	0	8333	0	0	0	0	0	0	0	0	0	0	8333	0	0	8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4167	0	4167	4167	0	125	0	0	0	0	4167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4167	0	0	0
Gunakri_D2T12txtdeg	2778	4167	0	0	1389	5556	0	0	0	0	0	0	4167	4167	0	4167	4167	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6944	0	5556	9722	1389	0	0	0	1389	1389	0	13889	6944	4167	0	0	0	0	0	0	0	5556	1389	0	0	5556	4167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hamir_D2T13txtdeg	0	1538	0	1538	0	0	4615	0	0	0	0	0	2308	0	2308	0	1538	0	0769	0	0	0	1538	6154	6154	1538	0769	0	0	0	0	0	0	0	2308	4615	0	3846	0769	3077	0	0	0	0769	3077	5385	9231	0769	0769	0	0	0	0	0	0	0769	0	0	0769	2308	5385	7692	0	0	0	0	3846	0769	0	0769	2308	9231	0769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
