FILENAME	t1_1	t1_2	t1_3	t1_4	t1_5	t1_6	t1_7	t1_h4	t1_h7	t1_~2	t1_~3	t1_—	t2_1	t2_2	t2_3	t2_4	t2_5	t2_6	t2_7	t2_h7	t2_~3	t3_1	t3_2	t3_3	t3_4	t3_5	t3_6	t3_7	t3_h4	t3_q1	t3_~2	t3_~3	t3_—	t4_1	t4_2	t4_3	t4_4	t4_5	t4_6	t4_7	t4_~6	t4_—	t5_1	t5_2	t5_3	t5_4	t5_5	t5_6	t5_7	t5_F4	t5_h4	t5_h7	t5_q4	t5_~6	t5_—	t6_1	t6_2	t6_3	t6_4	t6_5	t6_6	t6_7	t6_F4	t6_b	t6_~6	t6_—	t7_1	t7_2	t7_3	t7_4	t7_5	t7_6	t7_7	t7_h4	t7_q7	tF4_1	tF4_6	tb_4	th4_3	th4_5	th4_6	th4_h4	th7_1	th7_5	th7_7	th7_h7	tq1_1	tq4_4	tq7_5	t~2_2	t~2_4	t~2_~2	t~2_~~1	t~3_2	t~3_4	t~3_5	t~3_~3	t~6_1	t~6_6	t~6_~6	t~6_~~1	t~~1_1	t~~1_3	t—_3	t—_4	t—_5	t—_6	t—_7
Brindabani_sarang_D1T18.txt.deg	3.968	4.762	0	1.587	1.587	0	3.175	0	0.794	0	0	0	3.968	5.556	0	8.73	0.794	0	0.794	2.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.111	0	0	5.556	0	0	0	0	0.794	0	0	6.349	2.381	0	7.143	0	0	3.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.381	0.794	0	0	8.73	0	3.968	0	0	0	0	0	0	0	0	0	4.762	0.794	0.794	3.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chandrakauns_D2T1.txt.deg	3.261	0	3.261	4.348	0	0	7.609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.435	0	0	10.87	0	0	0	0	0	0	0	0	0	0	11.957	3.261	0	4.348	2.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.261	0	1.087	3.261	0	5.435	7.609	0	0	0	0	6.522	0	0	0	0	10.87	5.435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chayanat_D2T2.txt.deg	6.122	1.02	3.061	0	0	1.02	4.082	0	0	0	0	0	5.102	3.061	6.122	2.041	0	0	1.02	0	0	0	8.163	2.041	10.204	1.02	0	0	0	0	0	0	0	0	3.061	7.143	1.02	2.041	1.02	1.02	0	0	2.041	0	3.061	2.041	8.163	0	0	0	0	0	0	0	0	0	0	0	0	1.02	4.082	2.041	0	0	0	0	3.061	2.041	0	0	2.041	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desh_D2T4.txt.deg	0.752	4.511	0	1.504	0	0.752	9.774	0	0	0	0	0	3.759	1.504	1.504	3.759	0.752	0	1.504	0	0	0	5.263	1.504	0.752	0	0	0.752	0	0	0	0	0	0.752	0.752	5.263	0.752	3.008	1.504	0	0	0	0.752	0.752	0	3.759	1.504	3.759	3.759	0	0	0	0	0	0	2.256	0	0	1.504	8.271	0.752	0	0	0	0	0	9.774	0	0	0	0.752	6.015	6.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deshi_D2T5.txt.deg	6.25	4.167	4.167	2.083	0	0	4.167	0	0	0	0	0	10.417	0	4.167	0	2.083	0	0	0	0	0	10.417	2.083	0	0	0	0	0	0	0	0	0	0	2.083	2.083	2.083	4.167	2.083	0	0	0	0	0	0	8.333	0	4.167	2.083	0	0	0	0	0	0	0	0	0	0	6.25	2.083	0	0	0	0	0	4.167	0	0	0	2.083	0	8.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhani_D2T6.txt.deg	1.639	0	4.918	0	1.639	0	4.918	0	0	0	1.639	0	0	0	0	0	0	0	0	0	0	6.557	0	8.197	6.557	1.639	0	1.639	0	0	0	0	0	0	0	4.918	3.279	8.197	0	1.639	0	0	0	0	4.918	6.557	3.279	0	8.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.197	0	1.639	0	8.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.639	0	0	0	0	0	0	0	0	0	0	0	0	0
Durga_D2T7.txt.deg	0	0	0	3.846	0	11.538	0	0	0	0	0	0	3.846	0	0	11.538	7.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.231	0	0	0	3.846	0	0	0	0	3.846	0	7.692	0	3.846	0	0	0	0	0	0	0	11.538	0	0	0	7.692	3.846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaud_malhar_D2T8.txt.deg	2.762	3.315	0	1.105	0	2.21	2.762	0	0	0	0	0	3.315	1.657	2.21	2.762	2.762	0	2.21	0	0	0	4.972	0.552	7.182	0	0	0	0	0	0	0	0	0	3.315	9.392	2.21	2.762	0.552	0.552	0	0	0	0	0.552	4.972	4.972	3.315	0	0	0	0	0	0	0	0	0	0	0.552	0.552	2.762	8.287	0	0	0	0	6.077	1.657	0	0	2.762	3.315	1.657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaud_sarang_D2T9.txt.deg	2.439	0	7.317	0	0	0	0	0	0	0	0	0	2.439	0	0	9.756	0	0	0	0	0	4.878	12.195	2.439	7.317	4.878	0	0	0	0	0	0	0	0	0	19.512	0	7.317	0	0	0	0	0	0	2.439	9.756	2.439	0	0	0	0	0	0	0	2.439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.439	0	0
Gorakh_kalyan_D2T10.txt.deg	5.66	3.774	0	0.943	0	4.717	2.83	0	0	0	0	0.943	0.943	5.66	0	7.547	0	0	2.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.887	7.547	0	2.83	1.887	3.774	0	0	0	0	0	0	1.887	0	3.774	0	0	0	0	0	0	0	8.491	0	0	4.717	3.774	7.547	3.774	0	0	0	0	1.887	0	0	0	0	7.547	1.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943	0
